PLACE_NM,pId,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
조선통신사역사관,38,부산광역시 동구 자성로99,"도시철도 1호선 범일역 2번 출구 도보 12분, 버스 26, 41, 139, 80, 42, 1003 자성대 하차 도보 2분, 22, 23, 27, 40, 41, 63, 83, 101, 108, 134, 138 부산진시장 하차 도보 5분",부산 동구 범일동 394,자성로,Y,35.13608,129.06257
송도해수욕장,41,부산광역시 서구 송도해변로 100,"도시철도 1호선 자갈치역 7번 출구 → 96, 26, 30, 7, 71 버스 환승 → 송도해수욕장 하차 도보 3분, 부산시티투어버스 부산역(점보버스) → 송도해수욕장 하차, 주차 송도해수욕장 공영주차장(유료)",부산 서구 암남동 356-5,송도해변로,Y,35.07603,129.01673
태종대,42,부산광역시 영도구 전망로 24,"도시철도 1호선 부산역 7번 출구 → 66, 88, 101 버스 환승 → 태종대(태종대온천) 하차, 버스 8, 30, 66, 88, 101, 186 태종대(태종대온천) 하차, 주차 정문입구 주차장(버스전용), 제7주차장, 자유랜드 주차장 (유료)",부산 영도구 동삼동 1023-1,태종로,Y,35.06231,129.0812
다대포해수욕장,43,부산광역시 사하구 몰운대1길 14,"도시철도 1호선 다대포해수욕장역 2번 출구 도보 8분, 버스 11, 2, 3, 338, 96, 96-1, 1000 다대포해수욕장 하차, 주차 다대포해수욕장 공영주차장(유료)",부산 사하구 다대동 1543,다대로,Y,35.04843,128.96523
송정해수욕장,45,부산광역시 해운대구 송정해변로 62,"도시철도 2호선 해운대역 하차 → 해운대 정류장 139, 182, 200, 38, 39, 40, 63, 1001, 1003, 1011 버스 환승 → 송정해수욕장 입구 하차 도보 12분, 동해선 송정역 하차 도보 17분, 버스 100, 100-1, 139, 141, 181, 182, 185, 200, 38, 39, 40, 63 송정1단지주공 하차",부산 해운대구 송정동 713-8,송정해변로,N,35.17859,129.19873
오륙도,46,부산광역시 남구 오륙도로 137,"도시철도 2호선 경성대?부경대역 → 버스 24, 27, 131, 남구2 환승 → 오륙도 SK아파트 하차, 부산시티투어버스 : 부산역(레드라인) → 용호만 유람선터미널(그린라인 환승) → 오륙도 하차, 주차 오륙도 공영주차장",부산 남구 용호동 947,오륙도로,Y,35.10142,129.12184
암남공원,47,부산 서구 암남공원로 185,"도시철도 1호선 자갈치역 하차- 1번출구- 자갈치역, 충무동교차로 정류장까지 도보 이동- 버스(7번) 환승- 암남공원 정류장 하차, 주차 암남공원 공영주차장 이용(유료)",부산 서구 암남동 725,원양로,N,35.06198,129.01123
청사포,48,부산광역시 해운대구 청사포로128번길 25,"도시철도 2호선 장산역 5번 출구 → 마을버스 해운대구2 환승 → 청사포 슈퍼 하차 도보 3분, 부산시티투어버스 레드라인(부산역) → 블루라인 환승(해운대해수욕장) → 청사포 하차, 주차 청사포 공영주차장",부산 해운대구 중동 456,청사포로,Y,35.16248,129.18754
황령산 전망쉼터,49,부산 남구 황령산로 391-39,"도시철도 2호선 금련산역 6번 출구 하차 택시 이용 10~15분 소요, 도시철도 1호선 시청역 6번 출구 하차 → 마을버스 연제구1 환승 → 물만골종점 하차 도보 20분, 주차 황령산 전망쉼터 주차장",부산 연제구 연산동 2158,연수로,N,35.17441,129.08979
가덕도 연대봉,50,부산광역시 강서구 천성동,도시철도 1호선 하단역 3번 출구 → 버스 520 환승 → 전망대 정류장 하차 연대봉까지 도보 이동,부산 강서구 송정동 1706,가락대로,N,35.08677,128.8394
백양산,51,부산광역시 부산진구 당감동,"도시철도 1호선 서면역 9번 출구 → 롯데호텔백화점 맞은편 정류장 버스 17, 23 환승 → 선암사 입구 하차 도보 14분, 도시철도 1호선 서면역 13번 출구 → 영광도서 뒤 맞은편 정류장 버스 54, 63, 81, 133 어린이대공원 하차",부산 부산진구 부암동 715,백양산로,Y,35.17486,129.03193
성지곡수원지,52,부산 부산진구 새싹로 295,"도시철도 1호선 서면역 13번 출구 → 영광도서 뒤 맞은편 정류장 버스 54, 63, 81, 133 어린이대공원 하차, 도보 이동, 주차 어린이대공원 주차장(유료)",부산 부산진구 초읍동 43-5,성지로,Y,35.18282,129.04711
승학산 억새평원,53,부산광역시 사하구 당리동 산 45-1,"도시철도 1호선 당리역 1번 출구 → 마을버스 사하구2, 2-1 동원베네스트2차아파트 하차 등산로 도보 이동, 버스 123, 126, 138, 16, 2, 3, 520, 58-2, 1001 사하구청 하차 도보 23분",부산 사하구 당리동 315,제석로,Y,35.10518,128.97396
아홉산 숲,54,부산광역시 기장군 철마면 미동길 37-1,"도시철도 1호선 노포역 → 2-3 마을버스 환승 → 미동마을 하차, 주차 아홉산숲 주차장",부산 기장군 철마면 와여리 486-6,곰내길,Y,35.27611,129.15059
일광해수욕장,55,부산광역시 기장군 일광면 삼성3길 17,"도시철도 2호선 해운대역 → 1006, 180번 버스환승 → 일광해수욕장 입구 하차, 버스 188, 180, 1006 일광해수욕장 입구 하차, 마을버스 기장군2, 기장군8-1, 기장군9, 기장군3, 기장군8 일광해수욕장 입구 하차",부산 기장군 일광면 삼성리 103-2,일광로,N,35.26257,129.23155
임랑해수욕장,56,부산광역시 기장군 장안읍 갑골길,"도시철도 2호선 해운대역 → 180 버스 환승 → 임랑삼거리 하차, 버스 37, 180, 188 임랑삼거리 하차, 마을버스 기장군9, 기장군3 임랑삼거리 하차",부산 기장군 장안읍 임랑리 94-6,해맞이로,Y,35.31779,129.26146
봉래산,57,부산광역시 영도구 신선동3가 산3,"도시철도 1호선 남포역 6번 출구 → 버스 508, 71 환승 → 절영종합사회복지관 하차 등산로 방향 도보 이동",부산 영도구 신선동3가 115-6,중복길,Y,35.08176,129.04496
회동수원지,58,부산광역시 금정구 수원지로,"도시철도 1호선 범어사역 1번 출구 → 버스 환승 금정구3-1 → 상현마을 하차, 버스 29, 49, 51, 80, 131, 301 범어사입구 하차 → 환승 금정구3-1 → 상현마을 하차, 주차 선동주차장(무료)",부산 금정구 선동 338-2,상현로,N,35.26631,129.11057
부산시민공원,59,부산광역시 부산진구 시민공원로 73,"도시철도 1호선 부전역 1번 출구 도보 17분, 버스 33, 44, 63, 179 부산시민공원 하차 도보 6분, 주차 부산시민공원 주차장(유료)",부산 부산진구 연지동 202-2,동평로,Y,35.17047,129.0542
